date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:01	56720/56720	---M--	200	added ('OK')	image/png	etag:%2262e8fa1d-dd90%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/casestudy33.png	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/casestudy33.png	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:04:02	50109/50109	---M--	200	added ('OK')	image/png	etag:%2262e8fa1d-c3bd%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/casestudy34.png	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/casestudy34.png	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:04:03	46298/46298	---M--	200	added ('OK')	image/png	etag:%2262e8fa1e-b4da%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/casestudy35.png	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/casestudy35.png	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:04:04	81907/81907	---M--	200	added ('OK')	image/png	etag:%2262e8fa1f-13ff3%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/casestudy36.png	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/casestudy36.png	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:04:05	37877/37877	---M--	200	added ('OK')	image/png	etag:%2262e8fa09-93f5%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/attorney41.png	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/attorney41.png	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:04:06	45195/45195	---M--	200	added ('OK')	image/png	etag:%2262e8fa0b-b08b%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/attorney42.png	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/attorney42.png	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:04:07	48085/48085	---M--	200	added ('OK')	image/png	etag:%2262e8fa0b-bbd5%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/attorney43.png	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/attorney43.png	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:04:08	38064/38064	---M--	200	added ('OK')	image/png	etag:%2262e8fa0c-94b0%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/attorney44.png	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/attorney44.png	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:04:10	102151/102151	---M--	200	added ('OK')	image/png	etag:%2262e8fa46-18f07%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/testi31.png	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/testi31.png	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:04:10	2031/2031	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262e8fa84-7ef%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/icons/testi-quote.svg	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/icons/testi-quote.svg	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
